Unnamed: 0,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
24.0,Abensberg1809,Germany,48.8177181,11.8507867,2,Abensberg,1809,"['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians']",Napoleonic Wars (5th Coalition),France,Austria,France,Habsburg Empire,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p522; Harbottle's Dictionary of Battles, p86",,
276.0,Aire1814,France,43.6933099,-0.326149,18,Aire,1814,['Orthez'],Napoleonic Wars,United Kingdom,France,,,,Land,,No,,,
292.0,Aix1809,France,48.248386,-4.7400057,19,Aix,1809,"['Napoleonic', 'British', 'French']",Napoleonic Wars,United Kingdom,France,,,2.0,Sea,,No,"Clodfelter, Warfare and Armed Conflict, p147",,
,Alavus1808,Finland,62.5864506,23.6099106,"Showalter, p567",Alavus,1808,,Napoleonic Wars (Russo-Swedish War),Sweden,Russia,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p567",,
342.0,Alba de Tormes1809,Spain,40.8263217,-5.5177822,23,Alba de Tormes,1809,"['Napoleonic', 'Spanish']",Napoleonic Wars ,France,Spain,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p154",,
344.0,Alba de Tormes1812,Spain,40.8263301,-5.5134048,23,Alba de Tormes,1812,"['Napoleonic', 'Portugal', 'Anglo', 'Wellington', 'Wellington']",Napoleonic Wars (Peninsula Campaign),Draw,,France,"United Kingdom, Portugal",,Land,,No,,,
360.0,Albufera1812,Spain,39.3388043,-0.3447564,24,Albufera,1812,"['Napoleonic', 'Spanish', 'Valencia', 'French', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
362.0,Albuhera1811,Spain,38.7170277,-6.8230414,24,Albuhera,1811,"['Napoleonic', 'Spanish', 'French', 'Albuhera', 'British']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Spain, Portugal",France,,,3.0,Land,,No,"The Field and the Forge, Landers, p382",,
366.0,Albuquerque1811,Spain,39.2192059,-7.0000241,25,Albuquerque,1811,"['Napoleonic', 'Badajoz', 'French', 'Portuguese']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
374.0,Alcala la Real1810,Spain,37.4601627,-3.9351636,25,Alcala la Real,1810,"['Napoleonic', 'French', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
376.0,Alcan~iz1809,Spain,41.0510353,-0.1335373,25,Alcan~iz,1809,"['Napoleonic', 'Aragon', 'French', 'Spanish', 'Alcan', 'Teruel', 'Blake']",Napoleonic Wars (Peninsula Campaign),Spain,France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p535",,
382.0,Alcantara1809,Spain,39.7169271,-6.8822281,26,Alcantara,1809,"['Napoleonic', 'Portugal', 'Portuguese', 'Alcantara', 'Spain', 'French']",Napoleonic Wars,France,"United Kingdom, Portugal",,,,Land,,No,,,
390.0,Alcolea1808,Spain,36.9730578,-2.9606844,26,Alcolea,1808,"['Napoleonic', 'Spain', 'Spanish', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,Battle followed by massacre,,,
396.0,Aldea del Ponte1811,Portugal,40.4123563,-6.8909318,27,Aldea del Ponte,1811,"['Napoleonic', 'Anglo', 'Ciudad', 'Aldea', 'Wellington']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Portugal",France,,,,Land,,No,,,
452.0,Alexandria1807,Egypt,31.2000924,29.9187387,30,Alexandria,1807,"['Napoleonic', 'Turkey', 'French', 'Britain', 'North Africa', 'Egypt', 'British']",Napoleonic Wars (4th Coalition),Ottoman Empire,United Kingdom,,,,Land,,No,,,
514.0,Alicante1812,Spain,38.3459963,-0.4906855,34,Alicante,1812,"['Napoleonic', 'French', 'Alicante']",Napoleonic Wars,Spain,France,,,,Land,,No,,,
550.0,Almaden1810,Spain,38.7744644,-4.8326215,36,Almaden,1810,"['Almaden', 'Madrid', 'Andalusia', 'Almaden', 'Spanish', 'Spanish']",Napoleonic Wars,France,Spain,,,,Land,,No,,,
554.0,Almaraz1812,Spain,39.814327,-5.6752957,37,Almaraz,1812,"['Wellington', 'Anglo', 'French']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Portugal",France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p539",,
