,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
1,,,,,NA,,,,,,,,,,,,,,,
2,Aachen1944,Germany,50.7753455,6.0838868,1,Aachen,1944,"['American', 'German', 'Hurtgen']",['World War II'],United States,Germany,United States,Germany,3,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p827",,
3,,,,,NA,,,,,,,,,,,,,,,
4,Aardenburg1672,Netherlands,51.2742727,3.4453328,1,Aardenburg,1672,"['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']",3rd Dutch War,Netherlands,France,Netherlands,France,,Land,,No,,,
5,,,,,NA,,,,,,,,,,,,,,,
6,Aa River1917,Latvia,56.8206989,23.5755013,1,Aa River,1917,"['German', 'Russian', 'Riga', 'Germans']",['World War I'],Germany,Russia,Germany,Russia,4,Land,,No,,1,
7,,,,,NA,,,,,,,,,,,,,,,
8,Aasle1389,Sweden,58.1775353,13.6869345,1,Aasle,1389,"['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']",Wars of Scandinavian Union,Denmark,Sweden,Denmark,Sweden,,Land,,No,,,
9,,,,,NA,,,,,,,,,,,,,,,
10,Abadan1980,Iran,30.347296,48.2934004,1,Abadan,1980,"['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']",['Iraq-Iran War'],Draw,,Iran,Iraq,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p588",1,
11,,,,,NA,,,,,,,,,,,,,,,
12,Abadan1981,Iran,30.347296,48.2934004,1,Abadan,1981,"['Susangerd', 'Irans', 'Iran', 'Iraqis']",['Iraq-Iran War'],Iran,Iraq,Iran,Iraq,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p588",,
13,,,,,NA,,,,,,,,,,,,,,,
14,Abagana1968,Nigeria,6.1864553,6.9799755,2,Abagana,1968,['Abagana'],['Biafran War'],Biafran Rebels,Nigeria,Biafran Rebels,Nigeria,1,Land,,No,,,
15,,,,,NA,,,,,,,,,,,,,,,
16,Abakrampa1873,Ghana,5.245212,-1.230904,2,Abakrampa,1873,"['British', 'Ghana', 'Essaman']",2nd British Ashanti War,United Kingdom,Ashanti,United Kingdom,Ashanti,,Land,,No,,,
17,,,,,NA,,,,,,,,,,,,,,,
18,Abancay1537,Peru,-13.6391954,-72.8929,2,Abancay,1537,"['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist']",['Civil War'],Almagro Faction in Spanish Civil War,Pizzarists,Almagro Faction in Spanish Civil War,Pizzarists,,Land,,No,,,
19,,,,,NA,,,,,,,,,,,,,,,
20,Abbasabad1827,Iran,36.7240776,51.1141183,2,Abbasabad,1827,"['Russo', 'Russian', 'Persian', 'Persian']",Russo-Persian Wars,Russia,Persia,Russia,Persia,3,Land,,No,,,
